听懂	-1
只是	4.54
连	5.16
说	5.22
带	5.1
比画	-1
地	5.16
使劲	-1
表达	5.34
着	4.88
自己	5.28
的	5.1
兴奋	6.78
看到	-1
这种	-1
景象	5.82
马云	-1
嘿嘿	6.53
直乐	-1
这个	5.02
主意	5.48
不错	6.28
吧	4.96
讲	5.16
英语	5.7
时	5.04
看不清	-1
对方	5.12
胆子	-1
就是	4.98
大	5.7
侃完	-1
英语	5.7
大家	5.56
还	5.16
能	5.48
进	5.8
少年宫	-1
里	5.18
玩乐	-1
一番	-1
和	5.46
小孩儿	-1
们	5.06
一起	5.74
玩玩	-1
游乐	-1
项目	5.36
大家	5.56
开心	6.49
得	5.44
不得了	-1
好似	-1
回到	-1
了	5.08
童年	6.7
少年宫	-1
英语角	-1
很	5.14
是	5.42
红火	-1
了	5.08
一阵	5.16
一直	5.48
到	5.3
冬天	5.6
户外	-1
太冷	-1
了	5.08
才	5.48
停办	-1
课堂	5.52
之外	-1
由于	4.88
我	5.58
和	5.46
马云住	-1
得	5.44
比较	5.22
近	5.22
所以	5.24
下课	-1
经常	5.1
一起	5.74
回家	-1
马云	-1
当时	5.0
骑着	-1
一辆	-1
杭城	-1
第一代	-1
的	5.1
电动	-1
自行车	5.34
发出	5.24
的	5.1
声音	5.42
跟	5.06
拖拉机	4.82
很	5.14
像	5.5
但	4.62
又	4.98
不快	2.98
给	5.34
人	5.3
一种	-1
雷声大雨	-1
点	5.32
小	4.6
的	5.1
感觉	5.5
他	5.06
第一天	-1
上课	5.42
迟到	3.56
就是	4.98
因为	4.94
拖拉机	4.82
坏	3.2
在	5.02
了	5.08
路上	5.34
马云带	-1
部分	5.08
同学	5.74
去	4.86
大奇山	-1
玩	5.98
那	5.12
几年	-1
的	5.1
时光	5.62
是	5.42
非常	5.76
美好	7.22
的	5.1
回忆	5.38
除了	4.74
学习	5.86
英语	5.7
以外	4.92
同学	5.74
们	5.06
还	5.16
经常	5.1
组织	5.08
在	5.02
一起	5.74
喝茶	-1
打牌	-1
讲	5.16
段子	-1
在	5.02
讲	5.16
段子	-1
方面	5.1
我	5.58
的	5.1
成绩	5.64
还	5.16
算	4.96
名列前茅	-1
有时候	-1
别的	-1
同学	5.74
讲	5.16
不好	3.2
马云	-1
就	4.94
会	5.22
打断	3.2
他	5.06
把	4.94
你	5.36
的	5.1
毛坯	-1
告诉	5.04
陈伟	-1
让	5.36
他	5.06
锻造	-1
一下	5.12
再	4.96
讲	5.16
给	5.34
大家	5.56
听	5.64
好不好	-1
